target,variant,sample_scope,cov_type,N,R2,AdjR2,AIC,BIC,DW,JB_p,JB_stat,max_vif,quality_flags,target_note,predictors,coef,pvals,vif,family,lag_minutes,variant_설명,matched_base_variant,matched_base_N,matched_base_AIC,matched_base_BIC,matched_base_DW,matched_base_max_vif,delta_AIC_vs_matched_base,delta_BIC_vs_matched_base,dw_distance_to_2,dw_improvement_vs_matched_base,n_lost_vs_full_diff,판정,판정 이유
motor_current_a,motor_current_a__s5_base,펌프 작동 구간 1차 차분 (현재 시점 기준 모델),HAC(maxlags=20),65609,0.9910131971898932,0.9910127862393798,-399965.2951007207,-399928.92922807817,0.3110020882239096,0.0,204195.53941403618,62.78378406407288,잔차 자기상관 심함 | 다중공선성 매우 큼 | 추세 또는 상태전이 주도 적합 의심,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa']","{'motor_temperature_c': -0.01291428956753395, 'pump_rpm': -0.0012628601406980903, 'discharge_pressure_kpa': 0.047473781463033105}","{'motor_temperature_c': 0.0018196113840247931, 'pump_rpm': 4.277884090113557e-50, 'discharge_pressure_kpa': 0.0}","{'motor_temperature_c': 1.0239173451740073, 'pump_rpm': 62.768483768386616, 'discharge_pressure_kpa': 62.78378406407288}",s5_base,0,motor_current_a 기준 모델: 현재 시점 설명변수만 사용,motor_current_a__s5_base,65609,-399965.2951007207,-399928.92922807817,0.3110020882239096,62.78378406407288,0.0,0.0,1.6889979117760903,0.0,0,기준 모델,S5에서 비교 기준이 되는 현재 시점 모델입니다.
motor_current_a,motor_current_a__s5_predlag_only_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.7907947417652863,0.7907851750349847,-193479.29637228072,-193442.93056060586,1.4212705701584518,0.0,62699966.695186734,62.782232575994456,잔차 자기상관 주의 | 다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c_lag_1', 'pump_rpm_lag_1', 'discharge_pressure_kpa_lag_1']","{'motor_temperature_c_lag_1': -0.4124431703684432, 'pump_rpm_lag_1': -0.0017125357069950027, 'discharge_pressure_kpa_lag_1': 0.04763730888951113}","{'motor_temperature_c_lag_1': 5.735263665441373e-59, 'pump_rpm_lag_1': 1.8087221281049056e-34, 'discharge_pressure_kpa_lag_1': 0.0}","{'motor_temperature_c_lag_1': 1.0239099487331869, 'pump_rpm_lag_1': 62.766869463227074, 'discharge_pressure_kpa_lag_1': 62.782232575994456}",s5_predlag_only,1,motor_current_a: 설명변수의 1분 시차 값만 사용,motor_current_a__s5_base_matched_lag1,65608,-399958.60150069755,-399922.2356890227,0.3110129331480013,62.82991841574796,206479.30512841683,206479.30512841683,0.5787294298415482,1.1102576370104504,1,비권장,DW 개선 또는 AIC 개선이 충분하지 않습니다.
motor_current_a,motor_current_a__s5_current_plus_predlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.9912072371501687,0.9912064329463136,-401410.4312639835,-401346.7910935525,0.31390693125956654,0.0,157308.10795985785,293.8139361027187,잔차 자기상관 심함 | 다중공선성 매우 큼 | 추세 또는 상태전이 주도 적합 의심,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_temperature_c_lag_1', 'pump_rpm_lag_1', 'discharge_pressure_kpa_lag_1']","{'motor_temperature_c': -0.009440723219712129, 'pump_rpm': -0.0005651097875336345, 'discharge_pressure_kpa': 0.0424057890523795, 'motor_temperature_c_lag_1': 0.015518044594084885, 'pump_rpm_lag_1': -0.0007639645637354028, 'discharge_pressure_kpa_lag_1': 0.005506128328693072}","{'motor_temperature_c': 0.014657737961853727, 'pump_rpm': 3.192291575953459e-05, 'discharge_pressure_kpa': 0.0, 'motor_temperature_c_lag_1': 8.313909649791916e-07, 'pump_rpm_lag_1': 8.513899207803455e-21, 'discharge_pressure_kpa_lag_1': 1.0084280222635553e-16}","{'motor_temperature_c': 1.3475678535878757, 'pump_rpm': 293.8139361027187, 'discharge_pressure_kpa': 290.20884183290025, 'motor_temperature_c_lag_1': 1.3401409090241718, 'pump_rpm_lag_1': 292.79015936368825, 'discharge_pressure_kpa_lag_1': 289.5943955140723}",s5_current_plus_predlag,1,motor_current_a: 현재 설명변수 + 1분 시차 설명변수,motor_current_a__s5_base_matched_lag1,65608,-399958.60150069755,-399922.2356890227,0.3110129331480013,62.82991841574796,-1451.8297632859321,-1424.5554045297904,1.6860930687404334,0.0028939981115652103,1,조건 미달,개선은 있지만 채택 기준(DW와 AIC)을 동시에 만족하지 못합니다.
motor_current_a,motor_current_a__s5_current_plus_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.9910877111698317,0.991087167762437,-400528.5846937684,-400483.12742917484,0.3339725784205582,0.0,281415.91933980974,67.48870602686665,잔차 자기상관 심함 | 다중공선성 매우 큼 | 추세 또는 상태전이 주도 적합 의심,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_current_a_lag_1']","{'motor_temperature_c': -0.02165689762749621, 'pump_rpm': -0.0012555100438426945, 'discharge_pressure_kpa': 0.046768949860804994, 'motor_current_a_lag_1': 0.02009319335679083}","{'motor_temperature_c': 2.7919640750270357e-08, 'pump_rpm': 2.0587359643484998e-51, 'discharge_pressure_kpa': 0.0, 'motor_current_a_lag_1': 2.6016483775264327e-11}","{'motor_temperature_c': 1.1381135494744723, 'pump_rpm': 62.85326064495016, 'discharge_pressure_kpa': 67.48870602686665, 'motor_current_a_lag_1': 5.171600925519329}",s5_current_plus_targetlag,1,motor_current_a: 현재 설명변수 + 1분 시차 타깃,motor_current_a__s5_base_matched_lag1,65608,-399958.60150069755,-399922.2356890227,0.3110129331480013,62.82991841574796,-569.9831930708606,-560.8917401521467,1.6660274215794417,0.022959645272556894,1,조건 미달,개선은 있지만 채택 기준(DW와 AIC)을 동시에 만족하지 못합니다.
motor_current_a,motor_current_a__s5_current_plus_predlag_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.9975439070027073,0.9975436449196131,-485082.0601944865,-485009.3285711368,2.015079997325394,0.0,17241789.755740132,473.0070459913679,다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_temperature_c_lag_1', 'pump_rpm_lag_1', 'discharge_pressure_kpa_lag_1', 'motor_current_a_lag_1']","{'motor_temperature_c': -0.018437656856278052, 'pump_rpm': -0.0006345888270853615, 'discharge_pressure_kpa': 0.0425252947181694, 'motor_temperature_c_lag_1': 0.024793262559796858, 'pump_rpm_lag_1': 0.0003556701536588288, 'discharge_pressure_kpa_lag_1': -0.03448490754607863, 'motor_current_a_lag_1': 0.8418138659615755}","{'motor_temperature_c': 0.0007369814122814058, 'pump_rpm': 1.6640979169689435e-07, 'discharge_pressure_kpa': 0.0, 'motor_temperature_c_lag_1': 3.1703230772422062e-06, 'pump_rpm_lag_1': 0.0019107575087276639, 'discharge_pressure_kpa_lag_1': 2.495071826644393e-284, 'motor_current_a_lag_1': 0.0}","{'motor_temperature_c': 1.3490577414239964, 'pump_rpm': 293.85321495102335, 'discharge_pressure_kpa': 290.2104801998871, 'motor_temperature_c_lag_1': 1.3417244479727117, 'pump_rpm_lag_1': 302.9911207340526, 'discharge_pressure_kpa_lag_1': 473.0070459913679, 'motor_current_a_lag_1': 111.79143828725185}",s5_current_plus_predlag_targetlag,1,motor_current_a: 현재 설명변수 + 1분 시차 설명변수 + 1분 시차 타깃,motor_current_a__s5_base_matched_lag1,65608,-399958.60150069755,-399922.2356890227,0.3110129331480013,62.82991841574796,-85123.45869378897,-85087.09288211411,0.01507999732539389,1.6739070695266047,1,동학 후보(계수 해석 주의),DW와 AIC는 좋아졌지만 VIF가 커서 계수 해석은 여전히 불안정합니다.
motor_current_a,motor_current_a__s5_predlag_only_lag3,펌프 작동 구간 1차 차분 + 3분 시차 조합,HAC(maxlags=20),65606,0.3073615787684535,0.30732990419658524,-114980.78098257538,-114944.41529283872,0.45683290251941905,0.0,17403813.574226275,62.77924799099732,잔차 자기상관 심함 | 다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c_lag_3', 'pump_rpm_lag_3', 'discharge_pressure_kpa_lag_3']","{'motor_temperature_c_lag_3': -0.380561645729871, 'pump_rpm_lag_3': -0.0021579429712700504, 'discharge_pressure_kpa_lag_3': 0.03865036433010942}","{'motor_temperature_c_lag_3': 4.467257374534494e-54, 'pump_rpm_lag_3': 9.210412078127272e-11, 'discharge_pressure_kpa_lag_3': 7.075554117396327e-41}","{'motor_temperature_c_lag_3': 1.0238935801296842, 'pump_rpm_lag_3': 62.76377121247143, 'discharge_pressure_kpa_lag_3': 62.77924799099732}",s5_predlag_only,3,motor_current_a: 설명변수의 3분 시차 값만 사용,motor_current_a__s5_base_matched_lag3,65606,-399945.34146486665,-399908.97577513,0.31103667612085956,62.92286056648089,284964.5604822913,284964.5604822913,1.543167097480581,0.1457962263985595,3,비권장,DW 개선 또는 AIC 개선이 충분하지 않습니다.
motor_current_a,motor_current_a__s5_current_plus_predlag_lag3,펌프 작동 구간 1차 차분 + 3분 시차 조합,HAC(maxlags=20),65606,0.9913405633019935,0.9913397712682706,-402450.98516101274,-402387.3452039736,0.33039260457500497,0.0,168450.872788512,93.23130410790827,잔차 자기상관 심함 | 다중공선성 매우 큼 | 추세 또는 상태전이 주도 적합 의심,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_temperature_c_lag_3', 'pump_rpm_lag_3', 'discharge_pressure_kpa_lag_3']","{'motor_temperature_c': -0.00849805749946579, 'pump_rpm': -0.000899406907127653, 'discharge_pressure_kpa': 0.04471790709314629, 'motor_temperature_c_lag_3': 0.005331833575643815, 'pump_rpm_lag_3': -0.0005955481753539309, 'discharge_pressure_kpa_lag_3': 0.004422201361987021}","{'motor_temperature_c': 0.03269187961727342, 'pump_rpm': 1.3694159964472007e-18, 'discharge_pressure_kpa': 0.0, 'motor_temperature_c_lag_3': 0.005018408295070921, 'pump_rpm_lag_3': 2.506741058461798e-46, 'discharge_pressure_kpa_lag_3': 1.1524676777279098e-37}","{'motor_temperature_c': 1.1452831814149667, 'pump_rpm': 93.23130410790827, 'discharge_pressure_kpa': 92.84405786200418, 'motor_temperature_c_lag_3': 1.1466184311443355, 'pump_rpm_lag_3': 92.79424521373623, 'discharge_pressure_kpa_lag_3': 92.38980247118131}",s5_current_plus_predlag,3,motor_current_a: 현재 설명변수 + 3분 시차 설명변수,motor_current_a__s5_base_matched_lag3,65606,-399945.34146486665,-399908.97577513,0.31103667612085956,62.92286056648089,-2505.643696146086,-2478.369428843609,1.669607395424995,0.019355928454145355,3,조건 미달,개선은 있지만 채택 기준(DW와 AIC)을 동시에 만족하지 못합니다.
motor_current_a,motor_current_a__s5_current_plus_targetlag_lag3,펌프 작동 구간 1차 차분 + 3분 시차 조합,HAC(maxlags=20),65606,0.99102495597815,0.9910244087277104,-400106.41073065996,-400060.95361848915,0.3126218460124978,0.0,190864.77101025518,63.0587581056523,잔차 자기상관 심함 | 다중공선성 매우 큼 | 추세 또는 상태전이 주도 적합 의심,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_current_a_lag_3']","{'motor_temperature_c': -0.01077918838262559, 'pump_rpm': -0.0012578600554975818, 'discharge_pressure_kpa': 0.04754589690301288, 'motor_current_a_lag_3': -0.005757282874697433}","{'motor_temperature_c': 0.006774169018767547, 'pump_rpm': 4.278543834731248e-49, 'discharge_pressure_kpa': 0.0, 'motor_current_a_lag_3': 0.0007001855863428855}","{'motor_temperature_c': 1.0477348892981024, 'pump_rpm': 62.9894299724052, 'discharge_pressure_kpa': 63.0587581056523, 'motor_current_a_lag_3': 1.4823194148305754}",s5_current_plus_targetlag,3,motor_current_a: 현재 설명변수 + 3분 시차 타깃,motor_current_a__s5_base_matched_lag3,65606,-399945.34146486665,-399908.97577513,0.31103667612085956,62.92286056648089,-161.06926579331048,-151.97784335917095,1.6873781539875021,0.0015851698916382606,3,조건 미달,개선은 있지만 채택 기준(DW와 AIC)을 동시에 만족하지 못합니다.
motor_current_a,motor_current_a__s5_current_plus_predlag_targetlag_lag3,펌프 작동 구간 1차 차분 + 3분 시차 조합,HAC(maxlags=20),65606,0.994457247753681,0.994456656283427,-431719.6597958242,-431646.9284163509,0.6692845412105208,0.0,778376.0478542723,277.2265074954081,잔차 자기상관 심함 | 다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_temperature_c_lag_3', 'pump_rpm_lag_3', 'discharge_pressure_kpa_lag_3', 'motor_current_a_lag_3']","{'motor_temperature_c': -0.010038332837965262, 'pump_rpm': -0.0009606467167509689, 'discharge_pressure_kpa': 0.04502824370721097, 'motor_temperature_c_lag_3': 0.011220258734916676, 'pump_rpm_lag_3': 0.00017966449164251184, 'discharge_pressure_kpa_lag_3': -0.02374254946290903, 'motor_current_a_lag_3': 0.590670463672966}","{'motor_temperature_c': 0.022864344444962895, 'pump_rpm': 3.399621680738437e-24, 'discharge_pressure_kpa': 0.0, 'motor_temperature_c_lag_3': 0.0005728623006581542, 'pump_rpm_lag_3': 0.019089549380453926, 'discharge_pressure_kpa_lag_3': 2.245970618242092e-281, 'motor_current_a_lag_3': 0.0}","{'motor_temperature_c': 1.1453720324916352, 'pump_rpm': 93.29331358419054, 'discharge_pressure_kpa': 92.86651844145631, 'motor_temperature_c_lag_3': 1.1479170480640166, 'pump_rpm_lag_3': 102.73328010916534, 'discharge_pressure_kpa_lag_3': 277.2265074954081, 'motor_current_a_lag_3': 111.81738599052575}",s5_current_plus_predlag_targetlag,3,motor_current_a: 현재 설명변수 + 3분 시차 설명변수 + 3분 시차 타깃,motor_current_a__s5_base_matched_lag3,65606,-399945.34146486665,-399908.97577513,0.31103667612085956,62.92286056648089,-31774.318330957554,-31737.952641220938,1.3307154587894792,0.3582478650896612,3,부분 개선,"AIC는 좋아지고 DW도 개선됐지만, 아직 목표 수준까지는 아닙니다."
motor_current_a,motor_current_a__s5_predlag_only_lag5,펌프 작동 구간 1차 차분 + 5분 시차 조합,HAC(maxlags=20),65604,0.056884456696808194,0.056841326412815696,-94777.09194899921,-94740.72638120447,0.27201323674468175,0.0,5541512.855442572,62.776436719495564,잔차 자기상관 심함 | 다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c_lag_5', 'pump_rpm_lag_5', 'discharge_pressure_kpa_lag_5']","{'motor_temperature_c_lag_5': -0.348565967212851, 'pump_rpm_lag_5': -0.002573993262103235, 'discharge_pressure_kpa_lag_5': 0.029381372664663046}","{'motor_temperature_c_lag_5': 8.836192459587514e-43, 'pump_rpm_lag_5': 1.1062151527356563e-10, 'discharge_pressure_kpa_lag_5': 1.3788391011122555e-17}","{'motor_temperature_c_lag_5': 1.0238780166636636, 'pump_rpm_lag_5': 62.76083975043098, 'discharge_pressure_kpa_lag_5': 62.776436719495564}",s5_predlag_only,5,motor_current_a: 설명변수의 5분 시차 값만 사용,motor_current_a__s5_base_matched_lag5,65604,-399932.2064983188,-399895.8409305241,0.311062546244198,63.0166339928882,305155.1145493196,305155.1145493196,1.7279867632553183,-0.03904930949951635,5,비권장,DW 개선 또는 AIC 개선이 충분하지 않습니다.
